round,EC,avg_RE,TH,PDR,CA,RL,EE,PLR,LB,FI,CE
50,9.828807040296965,0.9508559647985152,51.7,0.9616815476190477,1.0,50.7957858424344,5.2600483240779905,0.03831845238095233,0.9900486246172645,0.9999009799339377,0.10174174708081218
100,19.978690652819807,0.900106546735901,52.63,0.9586520947176684,1.0,44.24338273977814,2.6343067678747887,0.041347905282331565,0.9798905268428681,0.9995957725552451,0.05005333018952667
150,29.968894821334942,0.8501555258933253,52.75333333333333,0.9598495875788452,1.0,33.29576810073549,1.7602695610843173,0.0401504124211548,0.9682142290564264,0.998990684512522,0.033367930514678075
200,40.15842393125192,0.7992078803437405,52.8,0.9587797348828764,1.0,38.45577988237233,1.3147926345513328,0.04122026511712362,0.9605072765910311,0.9984427535963429,0.024901375654381303
250,50.78449076000567,0.7460775461999717,52.872,0.9577566842982392,1.0,41.11356256837402,1.0411052510078196,0.042243315701760764,0.949713287723802,0.9974776250328055,0.019691051047961487
300,60.975395745560604,0.6951230212721969,52.916666666666664,0.9586352657004831,1.0,41.930206485793406,0.8678363792418573,0.041364734299516925,0.9423789152090518,0.9966907977657353,0.016400057560476043
350,71.62725497909969,0.6418637251045015,53.011428571428574,0.9596069304370313,1.0,41.92793844860129,0.7401013564863951,0.04039306956296873,0.9347826188313957,0.9957647071932304,0.01396116604345361
400,83.4481446227304,0.582759276886348,53.155,0.9602565260590733,1.0,42.89140542015394,0.6369824067427036,0.0397434739409267,0.9266576473103663,0.9946496792162132,0.011983489920848528
450,96.69281399499174,0.5165359300250413,53.19555555555556,0.9615971720093195,1.0,37.7028854310148,0.5501500407084114,0.03840282799068051,0.9156691731860469,0.9929385306184166,0.010342030174567012
500,112.06995360823463,0.43965023195882685,53.272,0.9620746947915915,1.0,41.37577675522289,0.4753459628101934,0.03792530520840853,0.9055517308403805,0.9911583957671096,0.008922998250679407
550,131.20284201841878,0.3439857899079061,53.4,0.9628245476003147,1.0,48.088493068676556,0.40700337872638076,0.03717545239968534,0.8797782086959456,0.9857526419382111,0.00762178611847155
600,157.87725110043422,0.21061374449782885,53.46333333333333,0.9620032988454041,1.0,41.13392109427956,0.33863861297738473,0.03799670115459586,0.8215465773724437,0.9691372204278267,0.006334034783541082
650,184.21810735565893,0.07890946322170535,53.60307692307693,0.9631513476157567,1.0,40.37234962603738,0.29097615697239065,0.036848652384243286,0.6093515249160437,0.8675989883017465,0.005428348029161757
700,189.63481122918375,0.05182594385408126,51.325714285714284,0.9628299611416321,0.665,,0.2706555508085719,0.03717003885836789,0.5867359800091175,0.8541262174024765,0.0035067401163824934
750,189.83295155813659,0.05083524220931701,48.086666666666666,0.9627602776294715,0.4375,16.29125481595219,0.25331043041776685,0.03723972237052853,0.7720305019071384,0.950597367308317,0.002304657839479544
800,189.87479196052453,0.05062604019737729,45.18,0.9628386478062815,0.4375,,0.23794627782603728,0.03716135219371852,0.7710845519977949,0.9502069852814924,0.002304149990015301
850,189.90332191399816,0.05048339043000929,42.60470588235294,0.9629078146188412,0.435,,0.22434945030423115,0.03709218538115877,0.9898704062961923,0.9998974018588547,0.0022906392348260194
900,189.93215010984133,0.050339249450793364,40.3,0.9629373971220729,0.435,,0.21218103399921368,0.037062602877927064,0.9918728518482552,0.9999339538253048,0.0022902915580560288
950,189.9608705264148,0.05019564736792604,38.24,0.9629688535453943,0.435,,0.2013046154928132,0.0370311464546057,0.9916533364796097,0.9999303380612008,0.002289945286071489
1000,189.9854466077184,0.05007276696140802,36.387,0.9630266779589244,0.435,,0.19152519653324718,0.03697332204107562,0.997942364763158,0.9999957661551575,0.0022896490640053457
1050,190.01295025692846,0.04993524871535765,34.70952380952381,0.9630833465461657,0.435,,0.18266925366187345,0.036916653453834325,0.9896634598755001,0.9998931673526886,0.002289317646043647
1100,190.0376326671933,0.04981183666403352,33.18181818181818,0.9631369237670528,0.435,7.457100576141992,0.1746065645846495,0.036863076232947156,0.9974657758163068,0.9999935777490325,0.0022890203055823226
1150,190.0576942866751,0.049711528566624495,31.792173913043477,0.9631961641814637,0.435,,0.1672764369386145,0.0368038358185363,0.9917641673554949,0.9999321756611046,0.0022887786870857446
1200,190.0766754176546,0.049616622911726964,30.514166666666668,0.9632503814384175,0.435,,0.16053609207767355,0.03674961856158254,0.9950863223125754,0.9999758563545138,0.002288550128752918
1250,190.09712069029118,0.04951439654854412,29.3432,0.9633102216619392,0.435,,0.15435899235847103,0.03668977833806075,0.9916785172209389,0.9999307577191832,0.0022883039912461795
1300,190.12001954844933,0.04939990225775331,28.251538461538463,0.963356415905991,0.435,,0.1485984407567293,0.03664358409400903,0.9986958529632591,0.9999982992033994,0.0022880283782484388
1305,190.1209245133258,0.049395377433371024,28.146360153256705,0.9633602601762484,0.0,,0.1480445154856371,0.03663973982375157,1.0,0.0,0.0
