round,alive,avg_energy,generated_cum,delivered_cum
1,200,0.9997286651670748,20,19
2,200,0.9990793209182057,60,57
3,200,0.9981780167611994,106,103
4,200,0.9970457177830312,168,158
5,200,0.9961793047373533,220,208
6,200,0.995190903390805,280,268
7,200,0.9946433738749414,323,311
8,200,0.9936552690707297,379,367
9,200,0.9924435801908996,439,425
10,200,0.9915320168752944,484,470
11,200,0.9906645524799638,531,517
12,200,0.9898347125782729,584,570
13,200,0.9889191439332672,631,617
14,200,0.9876994748764045,687,673
15,200,0.9864850392643885,746,723
16,200,0.985520691028853,805,782
17,200,0.984662580863107,864,841
18,200,0.983825432385641,919,896
19,200,0.9830251016839125,979,956
20,200,0.9821085041922356,1031,1003
21,200,0.9813510428243635,1076,1044
22,200,0.9804321457247959,1129,1097
23,200,0.9794286386477347,1185,1153
24,200,0.9778577589585697,1251,1212
25,200,0.976949033981733,1308,1261
26,200,0.9756077482185226,1367,1318
27,200,0.9746681076439012,1423,1374
28,200,0.9738705477366391,1465,1415
29,200,0.9727620193306676,1531,1481
30,200,0.9718615622363338,1586,1530
31,200,0.9707574111963947,1640,1577
32,200,0.969313618882016,1703,1640
33,200,0.9686607680663155,1752,1689
34,200,0.9677141638812639,1808,1745
35,200,0.9668034069435617,1863,1800
36,200,0.9659106320617385,1920,1853
37,200,0.9646104586767251,1980,1913
38,200,0.9637446786907763,2035,1959
39,200,0.9625412836065671,2095,2017
40,200,0.961795467166196,2148,2070
41,200,0.9608373061384315,2204,2126
42,200,0.9596613402559094,2258,2177
43,200,0.9584017511711894,2302,2220
44,200,0.9570589499775616,2364,2279
45,200,0.9559391203879484,2419,2329
46,200,0.9549596490225915,2471,2381
47,200,0.953566426103907,2531,2436
48,200,0.9526682604956743,2586,2488
49,200,0.9516770278494731,2636,2538
50,200,0.9508559647985148,2688,2585
51,200,0.9499405220563011,2748,2645
52,200,0.9489207721669045,2802,2691
53,200,0.9478043606786494,2880,2769
54,200,0.9468869734511123,2929,2813
55,200,0.9459565676542542,2983,2863
56,200,0.9450617172039883,3034,2914
57,200,0.944074481817735,3097,2977
58,200,0.9428498058255907,3153,3031
59,200,0.9421868665906404,3199,3076
60,200,0.9413481847138121,3251,3128
61,200,0.9402873833039562,3318,3195
62,200,0.9390814999314268,3380,3257
63,200,0.9378077383959984,3437,3314
64,200,0.9368655212101387,3486,3363
65,200,0.9358297060839249,3551,3406
66,200,0.9350038168623837,3602,3457
67,200,0.9337598191406064,3657,3505
68,200,0.9327575827936733,3713,3558
69,200,0.9317274615424398,3771,3611
70,200,0.93102071468893,3815,3650
71,200,0.9295846422117436,3875,3710
72,200,0.9285889822655921,3937,3772
73,200,0.9271614678708445,3990,3822
74,200,0.9262501361898056,4048,3876
75,200,0.9254117877301369,4112,3937
76,200,0.9245075329785066,4157,3979
77,200,0.9237312231023129,4219,4041
78,200,0.9226459587092088,4276,4098
79,200,0.9220308188140481,4321,4139
80,200,0.920956677552642,4384,4202
81,200,0.9192199131530677,4443,4261
82,200,0.9183730987639105,4496,4310
83,200,0.9175475942312236,4547,4354
84,200,0.9163615127663575,4596,4402
85,200,0.9156031931033166,4654,4455
86,200,0.9144323059820977,4709,4507
87,200,0.9131574979978001,4776,4574
88,200,0.9122414703263694,4832,4628
89,200,0.9111770790857616,4894,4690
90,200,0.9102768362211288,4948,4744
91,200,0.9093871461883216,4990,4777
92,200,0.9083360873443741,5041,4828
93,200,0.9074238832701741,5094,4881
94,200,0.9064839048982588,5152,4931
95,200,0.9053517064951067,5219,4995
96,200,0.9043982040808892,5276,5052
97,200,0.9033189480631952,5326,5101
98,200,0.902514068508107,5374,5148
99,200,0.9010331452553184,5439,5212
100,200,0.9001065467359018,5490,5263
101,200,0.8992002280861883,5546,5319
102,200,0.8981745195078112,5597,5370
103,200,0.8974750918871416,5647,5420
104,200,0.8963629440833327,5708,5469
105,200,0.8953623365022417,5762,5523
106,200,0.8940878023419155,5817,5578
107,200,0.8927628881681483,5880,5641
108,200,0.8917544980167622,5936,5696
109,200,0.8907568768983306,5990,5739
110,200,0.8899378020964559,6044,5786
111,200,0.8888824879502911,6103,5842
112,200,0.887797475211057,6158,5897
113,200,0.8870175369320171,6215,5954
