round,alive,avg_energy,generated_cum,delivered_cum
1,200,0.9996493425123473,31,30
2,200,0.9990190572435563,78,68
3,200,0.9982706892874631,131,118
4,200,0.9976498781035488,176,160
5,200,0.9967673408848883,240,224
6,200,0.9961228944546812,296,280
7,200,0.9953726896915817,354,336
8,200,0.9947552615264406,410,388
9,200,0.9941670634601791,464,442
10,200,0.9935892323891761,514,492
11,200,0.992751167874629,577,555
12,200,0.9920304014515743,635,611
13,200,0.9915282458501323,681,657
14,200,0.9906573091030989,748,719
15,200,0.9900297306321622,798,769
16,200,0.9893074311320088,858,829
17,200,0.9883700446524207,926,891
18,200,0.987755398872144,975,934
19,200,0.987190622047822,1016,974
20,200,0.9865170756629967,1067,1025
21,200,0.9856374978965639,1124,1081
22,200,0.9847795757459059,1182,1138
23,200,0.9839792604992047,1241,1189
24,200,0.9830438412608267,1307,1255
25,200,0.9824527253726123,1353,1301
26,200,0.9814886857263474,1410,1350
27,200,0.9808390322385568,1464,1398
28,200,0.979963106738787,1524,1458
29,200,0.9791749807841492,1585,1519
30,200,0.9784622206486433,1637,1569
31,200,0.977833946007893,1686,1616
32,200,0.9770909582673863,1745,1670
33,200,0.9763783403113899,1796,1720
34,200,0.9757597721035254,1847,1771
35,200,0.9748561010058032,1907,1828
36,200,0.9742841237871295,1951,1872
37,200,0.9734853629380601,2009,1928
38,200,0.9728118189742642,2064,1982
39,200,0.9718921263349302,2120,2038
40,200,0.9710286427771098,2179,2097
41,200,0.9699922169235912,2251,2169
42,200,0.9692367926949056,2306,2223
43,200,0.9685737529238969,2356,2273
44,200,0.9679036656191985,2407,2324
45,200,0.9672963660079626,2454,2371
46,200,0.966394024741181,2512,2424
47,200,0.9654977451002311,2580,2489
48,200,0.964669046529398,2639,2548
49,200,0.9640777284505776,2684,2593
50,200,0.9633503506971215,2736,2645
51,200,0.9625640255132347,2792,2700
52,200,0.9617888640015994,2844,2751
53,200,0.9607638607895223,2910,2817
54,200,0.960134407429344,2963,2870
55,200,0.9595238652115426,3007,2914
56,200,0.9589786566872516,3047,2954
57,200,0.9580649183804602,3114,3017
58,200,0.957087259489536,3173,3076
59,200,0.9564968381644893,3230,3133
60,200,0.9557104594069297,3284,3177
61,200,0.955047029193482,3340,3229
62,200,0.9542518313090702,3400,3287
63,200,0.9533971787706632,3460,3342
64,200,0.9527274398453442,3515,3397
65,200,0.9519902733164872,3569,3450
66,200,0.9512311178792041,3631,3508
67,200,0.9505148385727462,3677,3549
68,200,0.9497252554311026,3731,3603
69,200,0.9488938469705894,3787,3654
70,200,0.9479158488098659,3850,3717
71,200,0.9472469633987197,3898,3762
72,200,0.9462563320624179,3963,3827
73,200,0.9454788778044833,4025,3889
74,200,0.9447237441215505,4079,3940
75,200,0.9441426882716147,4123,3984
76,200,0.9434082275882761,4179,4040
77,200,0.9424047262056547,4244,4105
78,200,0.9415410149502448,4314,4172
79,200,0.9407284229332233,4367,4223
80,200,0.9402044331168032,4411,4263
81,200,0.9394554920238402,4472,4324
82,200,0.9388394078601806,4524,4376
83,200,0.9378991396393989,4582,4434
84,200,0.9371053272342064,4645,4497
85,200,0.9364195819608055,4699,4551
86,200,0.9355078532659451,4757,4609
87,200,0.9347105355328756,4815,4665
88,200,0.9340462093808619,4869,4719
89,200,0.9332368245749211,4928,4778
90,200,0.9325432006293513,4985,4832
91,200,0.9318355432051519,5037,4884
92,200,0.9311715614133413,5092,4935
93,200,0.9303435873765696,5143,4985
94,200,0.9293835573489059,5198,5030
95,200,0.928640285120726,5256,5088
96,200,0.9277051259827153,5319,5143
97,200,0.9270240363726727,5374,5197
98,200,0.9263439559877766,5431,5254
99,200,0.9255856821014515,5485,5308
100,200,0.9248008978576644,5536,5359
101,200,0.9237205930657815,5598,5421
102,200,0.9230201833102266,5654,5477
103,200,0.9220292194895316,5722,5541
104,200,0.9213181659731744,5776,5592
105,200,0.9207217191489216,5821,5636
106,200,0.9197212966501976,5871,5686
107,200,0.9189554092282524,5924,5733
108,200,0.9182118829746883,5975,5784
109,200,0.9173676823857144,6031,5839
110,200,0.9167108104412524,6077,5882
111,200,0.9158413055059422,6140,5945
112,200,0.9150937230375213,6193,5996
113,200,0.9145103460335682,6237,6037
114,200,0.9136516246261417,6297,6094
115,200,0.9127334747404834,6356,6152
116,200,0.9122379834323592,6397,6193
117,200,0.9117354265788478,6448,6240
118,200,0.9106609109854316,6521,6310
119,200,0.9098565639945112,6577,6366
120,200,0.9092661479285783,6632,6414
121,200,0.9087781056561377,6674,6456
122,200,0.9079779116801266,6737,6519
123,200,0.9070318640142858,6805,6583
124,200,0.9064725490006487,6860,6635
125,200,0.9058072945213573,6906,6681
126,200,0.9052330298911354,6954,6726
127,200,0.9045509235124635,7014,6783
128,200,0.9038445192293958,7075,6832
129,200,0.9032196553797018,7128,6880
130,200,0.9024452425539782,7187,6939
131,200,0.9017237752538406,7243,6990
132,200,0.9010522731463603,7299,7046
133,200,0.9003370754996826,7347,7092
134,200,0.8997291114342658,7397,7142
135,200,0.8989429762441205,7450,7192
136,200,0.8983094535351016,7503,7245
137,200,0.8973870907998435,7568,7306
138,200,0.8966026661867468,7630,7362
139,200,0.8959500528756661,7684,7413
140,200,0.8953835634695884,7729,7453
141,200,0.8947747304166616,7778,7499
142,200,0.8939942226492701,7838,7554
143,200,0.8932990690180295,7890,7605
144,200,0.8925565824022911,7946,7658
145,200,0.8919680606700331,7994,7706
146,200,0.8910681974301652,8061,7773
147,200,0.8902518731192081,8120,7832
148,200,0.8896111548527752,8167,7867
149,200,0.8889457445151916,8224,7922
150,200,0.8882249214190403,8273,7970
151,200,0.8874417524219379,8326,8016
152,200,0.8865274253685009,8390,8073
153,200,0.8858087523215201,8440,8117
154,200,0.8850340733606035,8498,8175
155,200,0.8842130304491691,8556,8233
156,200,0.8834744782931103,8613,8290
157,200,0.8828861363251767,8658,8335
158,200,0.8820957417992292,8714,8391
159,200,0.8813728294678157,8769,8441
160,200,0.8805803261642501,8826,8497
161,200,0.8797151494798345,8883,8554
162,200,0.8787396456103548,8943,8612
163,200,0.8778040067359663,9003,8672
164,200,0.8771479499667909,9050,8716
165,200,0.8763542010454249,9113,8779
166,200,0.875594094558916,9169,8830
167,200,0.8748236631177264,9224,8885
168,200,0.8739348138745175,9283,8944
169,200,0.873280120859352,9328,8985
170,200,0.8726924144792957,9379,9035
171,200,0.8719453069846475,9435,9091
172,200,0.8711065134991203,9493,9149
173,200,0.870405644246693,9545,9197
174,200,0.8694036841425319,9611,9260
175,200,0.8685188448171627,9674,9323
176,200,0.8678100942463424,9727,9376
177,200,0.8670926957250898,9775,9423
178,200,0.8663763994065029,9831,9476
179,200,0.865383442791755,9896,9540
180,200,0.8644866728809667,9955,9596
181,200,0.8635001358363406,10013,9654
182,200,0.8627281129998765,10064,9705
183,200,0.8620077075266427,10122,9762
184,200,0.8609872591717714,10184,9824
185,200,0.8601715493515288,10242,9882
186,200,0.8593718609914117,10293,9930
187,200,0.8586471552331085,10344,9978
188,200,0.8577284219428245,10404,10032
189,200,0.85685364527997,10466,10093
190,200,0.8560480770641636,10521,10144
191,200,0.8552777580154691,10573,10196
192,200,0.854577570853776,10629,10252
193,200,0.8539612542362782,10678,10292
194,200,0.8528036179520445,10744,10348
195,200,0.8520463186870094,10807,10411
196,200,0.8513232710838026,10862,10466
197,200,0.8507781203787782,10901,10504
198,200,0.8501520767773855,10948,10551
199,200,0.8491595128161368,11008,10609
200,200,0.8480530114836162,11068,10669
201,200,0.8473208423113568,11122,10718
202,200,0.8466134608921297,11174,10770
203,200,0.8458424774478257,11231,10827
204,200,0.845192673258353,11279,10873
205,200,0.8440714166049069,11351,10945
206,200,0.8432505770100789,11407,10993
207,200,0.8425839907827399,11449,11035
208,200,0.841834674973612,11498,11079
209,200,0.8410891874931667,11558,11139
210,200,0.8401462314403783,11615,11196
211,200,0.8393662458977902,11673,11247
212,200,0.8385092710231306,11737,11304
213,200,0.8375963830358271,11794,11360
214,200,0.8369761625253443,11839,11400
215,200,0.8361972364728169,11896,11457
216,200,0.8355644525291729,11945,11502
