round,EC,avg_RE,TH,PDR,CA,RL,EE,PLR,LB,FI,CE
50,12.574669106761064,0.9371266544661947,51.74,0.9352856109906001,0.9975,210.79144896982115,4.114621192869464,0.06471438900939985,0.8918807113184385,0.9884452914229807,0.07932614302062795
100,25.404624571336512,0.8729768771433174,51.14,0.9291424418604651,0.9975,222.47545904280182,2.01301931687273,0.07085755813953487,0.9095575436109296,0.991886528960366,0.039264504665243415
150,38.24751521827605,0.8087624239086197,50.70666666666666,0.928466796875,0.9925,209.8968215895196,1.3257506109164754,0.071533203125,0.8729760870426193,0.9841211322505218,0.025949398133077874
200,50.840062730249855,0.7457996863487507,50.09,0.9276784887489582,0.99,219.2648928294136,0.985246620677288,0.0723215112510418,0.8451992747009404,0.9765975349090554,0.019472831991825014
250,63.726226782167714,0.6813688660891615,49.86,0.930432186310368,0.975,217.84996686603728,0.7824094178749047,0.06956781368963205,0.8372700706754311,0.9742021244166476,0.015299823153390133
300,76.78017135055426,0.6160991432472287,49.20333333333333,0.9295340050377834,0.955,210.1059565850744,0.6408338568129303,0.07046599496221662,0.8018070209658673,0.9622041801361882,0.012438107172746054
350,89.39472961177486,0.5530263519411257,48.79714285714286,0.9335847818957035,0.94,222.93741926911207,0.545861518559987,0.06641521810429651,0.7494842077653965,0.9409478427044582,0.010515161286154675
400,101.72072563148609,0.49139637184256957,48.1875,0.9346814082048298,0.9325,219.75184297347684,0.47372351800333895,0.06531859179517019,0.7372928029721162,0.9354405066695799,0.009167256664863576
450,113.7766721789494,0.431116639105253,47.473333333333336,0.9341875109323071,0.9175,223.13021804953004,0.4172501482436283,0.06581248906769288,0.7345638230570921,0.9341810031706373,0.008064043203486778
500,125.67714104738425,0.3716142947630787,46.694,0.9347399607639028,0.875,213.1609016270938,0.37153932378518134,0.06526003923609724,0.7241283993923966,0.9292772265540344,0.00696228441153111
550,138.17083133556525,0.30914584332217376,45.82,0.9354838709677419,0.845,219.22389172532343,0.3316184722716212,0.06451612903225812,0.6894478964078365,0.912040440375193,0.006115617832158881
600,151.3249273865309,0.24337536306734545,44.766666666666666,0.9345859429366736,0.805,197.94814122836166,0.2958314101966736,0.06541405706332637,0.6520200340417679,0.8919890012548748,0.005319678746276744
650,161.59496539949382,0.1920251730025309,43.635384615384616,0.9350850586838982,0.7475,217.06758044377776,0.2700293570873917,0.06491494131610176,0.6748781577228837,0.9044010042221563,0.004625762926165653
700,171.1265175095994,0.1443674124520029,42.2,0.9345143941790572,0.6675,216.7871847203995,0.2466011732964342,0.06548560582094276,0.6440983926373318,0.8875745258301594,0.0039006228240608958
750,178.9629601280783,0.10518519935960846,40.632,0.9348713071755069,0.5025,155.48489565605684,0.22704139432495374,0.06512869282449307,0.6032281953712243,0.8639847287974208,0.0028078435875243464
800,183.83365345315747,0.08083173273421265,38.965,0.9350290959265702,0.4275,130.9806075074026,0.2119579264627336,0.06497090407342976,0.5543784226303863,0.8343215940630427,0.002325471925133289
850,186.30763731306592,0.06846181343467035,37.39058823529412,0.9347372136113644,0.41,133.01805707691256,0.20069272937246294,0.06526278638863559,0.48863895241801203,0.7927133025979248,0.002200661260660227
900,188.49090936834716,0.05754545315826424,35.93555555555555,0.9352264183679371,0.3775,111.41653424110214,0.19064874627630252,0.06477358163206293,0.35903913143318034,0.70880220021272,0.0020027491047979033
950,190.33959286713886,0.04830203566430566,34.491578947368424,0.9352914311811383,0.2825,151.17332320590498,0.1812107424830119,0.06470856881886167,0.3641607204624342,0.7121028193476766,0.0014841893677748437
1000,191.04924577781475,0.04475377111092621,32.994,0.9354427149783108,0.2425,147.28930378736715,0.17269892830862654,0.06455728502168923,0.3576818907053574,0.7079282388027,0.0012693062409784184
1050,191.4270987837452,0.04286450608127399,31.543809523809525,0.9354893376641717,0.2075,146.88118421002298,0.16478236218501383,0.06451066233582825,0.43258061912557877,0.7564498199604861,0.0010839635627263636
1100,191.53022458501178,0.04234887707494114,30.131818181818183,0.9355066327970646,0.1925,140.25152307959664,0.15732147887940268,0.06449336720293541,0.48031289930417154,0.7873552742028856,0.001005063302239056
