round,EC,avg_RE,TH,PDR,CA,RL,EE,PLR,LB,FI,CE
50,11.294087479068367,0.9435295626046581,50.34,0.9332591768631813,0.985,194.19573077575785,4.457199405732997,0.06674082313681873,0.9135341586567188,0.992579139172198,0.08721377462548673
100,22.606429507284133,0.8869678524635793,51.09,0.9447115384615384,0.98,187.6722335597884,2.2599765249765795,0.055288461538461564,0.8966943981124216,0.9894406425813325,0.043350499011099
150,34.40066227641739,0.8279966886179131,50.766666666666666,0.9343558282208589,0.98,193.3875817433955,1.4757467823946118,0.06564417177914106,0.8646760379837416,0.982016745004599,0.02848782363913433
200,46.1845439246909,0.7690772803765455,50.38,0.9322723908216136,0.98,184.14694585714727,1.0908411281954038,0.06772760917838638,0.8404863618134473,0.9751867621630013,0.021219220040323453
250,57.60424738885288,0.7119787630557356,50.524,0.9366703744901743,0.9775,198.12191688585003,0.8770881018363414,0.06332962550982568,0.810849820784271,0.9654580445415114,0.016969234810090723
300,68.72332499771295,0.6563833750114353,50.303333333333335,0.9371545674718996,0.9725,189.0712566144062,0.7319688524239388,0.06284543252810038,0.778286411418413,0.953146269502711,0.014150945112628995
350,79.8601900655925,0.6006990496720375,49.80285714285714,0.9358926174496645,0.9475,196.27469371510026,0.6236255774241456,0.06410738255033555,0.7916867220615643,0.9584103375864026,0.01186448466027665
400,91.27294721225182,0.5436352639387408,49.43,0.9376837712226122,0.9425,189.8488358136612,0.5415624400190824,0.06231622877738785,0.7418415368577843,0.9375183471532353,0.010326170336192295
450,101.8840614067941,0.4905796929660295,49.0,0.9374601420007653,0.935,183.47047709099485,0.48093881735197935,0.06253985799923467,0.7379621483791077,0.9357479561023347,0.009177097841308178
500,112.58013132736544,0.4370993433631728,48.584,0.9372636777529131,0.935,195.25016670049385,0.43155039372556175,0.06273632224708692,0.715563851702333,0.9251516061904902,0.008305195499205505
550,123.72333932297295,0.38138330338513526,48.016363636363636,0.936555784098163,0.9325,200.38178391536565,0.38809463031885655,0.06344421590183702,0.7041895682537597,0.9195370070411082,0.007536977300343957
600,134.85597300418596,0.3257201349790702,47.52166666666667,0.9367566857217952,0.93,204.81943117915296,0.35238829699587415,0.06324331427820484,0.6690100780369018,0.9012627632257929,0.006896246263939178
650,148.1510106103829,0.2592449469480854,46.90615384615385,0.9360206305836122,0.9125,207.8507563959883,0.3166104210352684,0.06397936941638782,0.6381514168298045,0.8842245867902411,0.006159255993195696
700,159.69450686619155,0.2015274656690423,46.02285714285714,0.9354239256678281,0.86,205.39290005272298,0.2881931135015171,0.06457607433217194,0.6130871978507244,0.8697909724194919,0.005385282292274438
750,169.63044624614344,0.15184776876928285,45.089333333333336,0.935230509693299,0.82,219.8990599405042,0.2658092007133327,0.06476949030670098,0.5397881452280078,0.825222121077299,0.0048340378637578615
800,178.58547784437172,0.10707261077814138,43.965,0.9349530822190915,0.725,223.12487940196144,0.2461846311955628,0.06504691778090854,0.35845258347861586,0.7084244694856429,0.004059680600859389
850,186.21003751253573,0.06894981243732129,42.368235294117646,0.9349897447880157,0.47,192.6006217453097,0.22752927747659896,0.06501025521198434,0.2810280176322997,0.6592302369300977,0.0025240314984006132
900,188.83950376800314,0.05580248115998428,40.37,0.9350920087504826,0.285,172.703486080431,0.21377942217850854,0.0649079912495174,0.32918044901617116,0.6896557098781139,0.0015092181154539245
950,189.11662744582478,0.054416862770876095,38.36631578947368,0.9351875609380613,0.26,175.93431521696533,0.20287119280648272,0.06481243906193868,0.4275621488145622,0.7531906510952665,0.001374813010952624
1000,189.2829871615772,0.05358506419211391,36.536,0.9352378026928787,0.25,178.34165673933194,0.19302315832965938,0.0647621973071213,0.48335100896344785,0.7893119708427524,0.0013207737459605552
1050,189.43820354043805,0.05280898229780969,34.86857142857143,0.9351724137931035,0.25,175.7482704066351,0.18406303890613213,0.06482758620689655,0.4743293096214227,0.7834966308504566,0.0013196915686894922
1100,189.56670429439976,0.052166478528001284,33.342727272727274,0.9351129468155627,0.25,179.15877063519503,0.1758891541467406,0.06488705318443733,0.46119419630952985,0.7750065387920413,0.0013187969951291999
1150,189.68838708502108,0.05155806457489457,31.949565217391303,0.9350536977655621,0.25,175.29857718992446,0.16843184608381453,0.06494630223443787,0.44137906348651545,0.7621618060048584,0.00131795100291483
1200,189.82414068812756,0.050879296559362144,30.6825,0.9350382202808746,0.25,175.32594554957655,0.1616364488140102,0.06496177971912542,0.40964903849280065,0.7415568610054357,0.0013170084642223597
