round,alive,avg_energy,generated_cum,delivered_cum
1,200,0.9750793423056983,33,25
2,199,0.9548297962762821,76,64
3,197,0.9457663298318747,119,100
4,196,0.9309720988388106,169,143
5,191,0.9257560615118472,235,188
6,186,0.9224409034062927,301,243
7,183,0.9163580824238634,348,280
8,179,0.9060239383406993,397,321
9,177,0.9046894207409655,445,365
10,175,0.8959740954762119,497,409
11,173,0.8860906518415571,539,443
12,170,0.8814802401975288,592,488
13,167,0.8720955239329028,637,520
14,166,0.8622004863604673,692,575
15,163,0.8497871409838632,728,608
16,156,0.8654463318853022,765,629
17,151,0.8628581356871475,807,661
18,150,0.8456492743086236,847,700
19,146,0.8401260340374351,890,736
20,144,0.8290369655672438,932,773
21,143,0.822304420351264,976,813
22,140,0.8255973459592699,1013,847
23,137,0.8293266790896808,1060,891
24,137,0.8104219538119016,1098,924
25,134,0.8087430750868755,1137,959
26,132,0.8001942355188666,1164,985
27,131,0.7928890040507851,1205,1024
28,126,0.8100817143428453,1234,1041
29,125,0.8045151938602616,1271,1070
30,122,0.8084931288579372,1302,1092
31,122,0.7946343792206793,1341,1131
32,121,0.792051563378346,1375,1164
33,120,0.776078895857983,1404,1192
34,116,0.7874177740593307,1438,1218
35,114,0.7859237986831191,1473,1245
36,112,0.7821377069811558,1497,1263
37,110,0.7819009666775668,1521,1283
38,107,0.7904622449088999,1559,1312
39,107,0.7812867766854689,1593,1344
40,107,0.7730285902105234,1611,1362
41,107,0.7586333926732923,1638,1389
42,107,0.7404375994299088,1670,1419
43,106,0.7286319481465324,1697,1441
44,105,0.7285207010672435,1726,1467
45,103,0.7218691601016933,1759,1490
46,101,0.7278409900849236,1783,1511
47,101,0.7201548848157249,1809,1537
48,101,0.7013972837099579,1839,1562
49,99,0.7034599039182369,1859,1573
50,97,0.70720853978431,1888,1602
51,93,0.7252186835868932,1913,1620
52,93,0.7159856570496016,1942,1647
53,92,0.7163165138804055,1969,1672
54,91,0.7117243802263093,1991,1693
55,90,0.7013214107460524,2011,1713
56,89,0.7021827883656746,2036,1735
57,87,0.7081895676543059,2059,1756
58,86,0.7106961261596724,2080,1776
59,84,0.713299453695812,2106,1791
60,83,0.7119846158557548,2127,1811
61,83,0.7025132669298181,2154,1838
62,83,0.6970814957556828,2179,1858
63,82,0.6940128034263958,2202,1881
64,82,0.6867591229431678,2217,1895
65,82,0.6775080606262944,2243,1916
66,82,0.6693075717450807,2266,1935
67,80,0.6732826410140109,2292,1958
68,79,0.6759614825158134,2312,1974
69,79,0.6687963183387136,2334,1996
70,79,0.6545858523058355,2354,2016
71,79,0.6446346388555655,2378,2037
72,77,0.6544717537591648,2396,2055
73,77,0.6473970859195539,2414,2073
74,76,0.6438644995796737,2435,2089
75,75,0.64453870134513,2455,2105
76,73,0.652054840107392,2481,2131
77,72,0.654858135837713,2498,2147
78,72,0.648511663787393,2520,2164
79,70,0.6567698328283909,2537,2180
80,70,0.6515580054085256,2554,2192
81,70,0.639201401173896,2572,2205
82,70,0.6307684734989762,2596,2220
83,68,0.6388805061601217,2613,2236
84,66,0.6478107690125158,2635,2257
85,66,0.6420094583999123,2651,2273
86,65,0.6441343845777062,2668,2286
87,62,0.6541616984796542,2694,2310
88,61,0.6524777792289344,2706,2319
89,61,0.6409717772138211,2726,2339
90,59,0.6537902442634248,2740,2348
91,59,0.6465513452021158,2761,2369
92,58,0.6501242177399208,2776,2384
93,58,0.6371413241258893,2784,2391
94,57,0.6430891649750163,2800,2406
95,57,0.6403120191324733,2814,2420
96,56,0.6458690810965279,2829,2434
97,55,0.6509782667501316,2849,2454
98,52,0.6753576306752044,2865,2469
99,52,0.6685552370742506,2878,2480
100,52,0.6617851480455866,2890,2492
101,52,0.6557386234869541,2904,2506
102,52,0.6422780046457288,2922,2524
103,52,0.6387348658756659,2940,2542
104,52,0.6347491766313724,2952,2554
105,51,0.6398323920153853,2963,2565
106,50,0.6464425885738543,2980,2582
107,49,0.6546966927856577,2998,2600
108,49,0.651669965670142,3012,2614
109,48,0.6599819505669554,3025,2625
110,48,0.653304789804491,3036,2636
111,48,0.6496598828567165,3048,2648
112,48,0.648633483586642,3058,2658
113,48,0.6407105997243528,3072,2672
114,48,0.6354466057245243,3089,2689
115,47,0.6403432617842234,3107,2701
