round,alive,avg_energy,generated_cum,delivered_cum
1,200,0.9990720740860766,39,34
2,200,0.9982611433349181,71,62
3,200,0.9972221293832743,124,115
4,200,0.9961897130084415,171,155
5,200,0.9950323358993094,225,206
6,200,0.9936085839453748,295,271
7,200,0.9925473588557217,353,329
8,200,0.9913238744644122,411,379
9,200,0.9898843534910811,478,446
10,200,0.9889244542812841,525,481
11,200,0.9877442432892106,579,535
12,200,0.9866752961013552,631,587
13,200,0.9855798575154683,683,636
14,200,0.9846474686566649,738,688
15,200,0.9834857607186561,794,724
16,200,0.9824367741618637,847,774
17,200,0.9805392104468124,901,828
18,200,0.9790774697376423,967,880
19,200,0.9779743086958558,1011,921
20,200,0.976893788865301,1072,979
21,200,0.9756022941915918,1128,1032
22,200,0.9746094866922346,1186,1088
23,200,0.9735521689252908,1234,1131
24,200,0.9724530213996343,1282,1174
25,200,0.9713624804389528,1334,1224
26,200,0.9701137762318788,1394,1280
27,200,0.9689070678872258,1461,1343
28,200,0.9677492608907167,1514,1396
29,200,0.9667161191376903,1566,1442
30,200,0.9658740249562444,1611,1484
31,200,0.9644621953563716,1673,1544
32,200,0.963369369609619,1727,1596
33,200,0.962299268258734,1777,1646
34,200,0.9608039605149199,1834,1703
35,200,0.9599284576142938,1882,1750
36,200,0.9586426801971717,1949,1811
37,200,0.9575515854544957,1999,1854
38,200,0.9567348675820344,2050,1905
39,200,0.9555620693334305,2101,1956
40,200,0.9543152979595639,2163,2016
41,200,0.9533717111772827,2217,2066
42,200,0.952267750505748,2271,2118
43,200,0.9510760330720316,2326,2170
44,200,0.9500012012929716,2373,2214
45,200,0.948982408605892,2429,2263
46,200,0.9479095032191327,2488,2318
47,200,0.9467895690230569,2539,2363
48,200,0.945622010279886,2600,2424
49,200,0.944634645266438,2648,2468
50,200,0.9435295626046583,2697,2517
51,200,0.9424857330831327,2751,2564
52,200,0.9413600870867423,2803,2616
53,200,0.9402963925349695,2861,2670
54,199,0.9435785739851797,2920,2727
55,199,0.9427421692933404,2970,2776
56,199,0.9419393659529363,3024,2830
57,199,0.9409757387885289,3079,2882
58,199,0.9400264837466941,3131,2929
59,199,0.9389583148603076,3190,2987
60,199,0.9376470214605285,3249,3043
61,199,0.936483671000077,3306,3097
62,199,0.9355122360002782,3349,3137
63,199,0.934349358343809,3396,3182
64,199,0.9328857344120572,3456,3238
65,199,0.9319035937324789,3510,3287
66,199,0.930559768909919,3579,3352
67,199,0.92956604270248,3630,3397
68,199,0.9285340949206733,3674,3436
69,199,0.9275296615236266,3724,3482
70,199,0.9262448468649056,3782,3540
71,199,0.9248089221373437,3844,3601
72,199,0.9234947199670556,3907,3664
73,199,0.922426378237305,3950,3707
74,199,0.9212449440525838,3999,3755
75,199,0.9200144810532197,4058,3808
76,198,0.9231804268222937,4108,3845
77,198,0.9219822417178312,4163,3900
78,198,0.920905736692409,4216,3953
79,198,0.9196619794137718,4274,4011
80,198,0.918597530795144,4326,4063
81,198,0.9174240631203434,4387,4124
82,198,0.9163512751594474,4443,4179
83,198,0.915420298246803,4496,4231
84,198,0.9142807683122252,4553,4282
85,198,0.9131215873629743,4603,4329
86,198,0.9117910517224828,4671,4395
87,198,0.9107129958902598,4726,4450
88,198,0.9097827578837345,4771,4494
89,198,0.9085531431680404,4824,4547
90,198,0.9073286649669929,4875,4593
91,198,0.9059550922857041,4934,4649
92,198,0.9049387359074162,4978,4691
93,198,0.9037508475440857,5033,4743
94,198,0.9023889578799964,5087,4797
95,198,0.9011448339466456,5137,4846
96,198,0.9002215023437566,5187,4893
97,198,0.8991538955037157,5235,4941
98,198,0.8980160423370548,5296,5002
99,198,0.8970009774693525,5346,5047
100,198,0.8956337065950036,5408,5109
101,198,0.8942157265743769,5468,5159
102,198,0.8931997874653969,5513,5202
103,198,0.8921611277865032,5565,5254
104,198,0.8905787340853237,5622,5302
105,197,0.893686959176474,5672,5348
106,197,0.8920510556969986,5731,5402
107,197,0.8907210380395966,5782,5450
108,197,0.8893460603063409,5843,5505
109,197,0.8882178990164814,5897,5559
110,197,0.887137880543136,5960,5620
111,197,0.8862968674514217,5999,5657
112,197,0.8850593042526352,6055,5710
113,197,0.8834103476944463,6110,5755
114,197,0.8822465598132655,6167,5805
115,197,0.8810329303091219,6229,5864
116,197,0.8796968672898905,6285,5914
117,197,0.8783807270647513,6336,5961
118,197,0.8769534739118485,6396,6016
119,197,0.8757726130136851,6453,6062
120,197,0.8742159125027426,6501,6104
121,197,0.8729415879974222,6559,6157
122,197,0.8719734389152648,6606,6193
123,197,0.8708288026503876,6659,6242
124,197,0.8696187867912751,6726,6303
125,197,0.8684184883367894,6777,6347
126,197,0.8675125065483524,6823,6385
127,197,0.8660459475803549,6886,6447
128,197,0.8649128610019439,6939,6492
129,197,0.8636725314752315,6996,6545
130,197,0.8624712225257759,7052,6593
131,197,0.8611375366074053,7106,6641
132,197,0.860042132388776,7159,6694
133,197,0.8589294466775834,7219,6751
134,197,0.8579572752307534,7271,6803
135,196,0.8609507211364581,7329,6861
136,196,0.859856577773347,7377,6908
137,196,0.8588740688427834,7428,6954
138,196,0.8574589616811068,7488,7007
139,196,0.8564670394196038,7545,7064
140,196,0.8554726052557057,7595,7112
141,196,0.8543562916287285,7655,7165
142,196,0.8530703594859808,7710,7218
143,196,0.8521962188542764,7759,7267
144,196,0.8510993378049462,7818,7322
145,196,0.8500228624884603,7868,7368
146,196,0.8487562505088101,7932,7416
147,196,0.8476901314470437,7988,7472
148,196,0.8466334848250103,8038,7510
149,196,0.8454784156838614,8089,7554
150,196,0.8441330902690193,8150,7615
151,196,0.842761486617941,8205,7669
152,196,0.8413718330312758,8260,7724
153,196,0.8403421466138765,8314,7771
154,196,0.8393582481575332,8361,7808
155,196,0.8382574060913228,8409,7853
156,195,0.840985785115598,8465,7904
157,195,0.8396251516031142,8526,7959
158,195,0.8385489108083888,8584,8015
159,195,0.8374729643679835,8632,8058
160,195,0.8364342881612156,8688,8110
161,195,0.8352695052531468,8742,8164
162,195,0.8337252587121252,8809,8231
163,195,0.8323794371201833,8867,8276
164,195,0.8313420306302439,8913,8308
165,195,0.8302289674403852,8965,8358
166,195,0.8288975448025029,9009,8399
167,195,0.8277994999605198,9064,8454
168,195,0.8266141606192374,9118,8508
169,195,0.825310591346534,9174,8558
170,195,0.8240837548947609,9225,8609
171,195,0.8230551506797674,9278,8660
172,195,0.8218124476610443,9332,8708
173,195,0.8204985118604246,9379,8751
174,195,0.8194816263049316,9433,8803
175,195,0.8180249111776908,9493,8860
176,195,0.8168405065807688,9549,8916
177,195,0.8156080181784175,9605,8963
178,195,0.8146656994782204,9651,9005
179,195,0.813297252854425,9698,9052
180,195,0.8120201492354735,9753,9100
181,195,0.8109159014091714,9815,9156
182,195,0.8100335074974186,9863,9204
183,195,0.8087703847335839,9916,9257
184,195,0.8076364626325824,9967,9308
185,195,0.8058546049623082,10018,9357
186,194,0.808302800093917,10079,9412
187,194,0.8073595561562771,10126,9451
188,194,0.8061530357527944,10177,9497
189,194,0.8045903670696893,10225,9541
190,194,0.8032809054869758,10268,9581
191,194,0.802277245165661,10327,9640
192,194,0.8008830625819182,10382,9688
193,194,0.799820285719393,10424,9730
194,193,0.80249960730713,10482,9785
195,193,0.8013536502874294,10543,9835
196,193,0.8002573645808533,10591,9883
197,193,0.7990910296982453,10653,9938
198,193,0.7981278640890355,10702,9983
199,193,0.7968864243401615,10754,10023
200,193,0.7957083905612746,10808,10076
201,193,0.7946186190415168,10857,10120
202,193,0.7937254739100968,10905,10168
203,193,0.7925931811668376,10957,10218
204,193,0.791447798524989,11002,10259
205,193,0.7902886879095639,11065,10322
206,193,0.7890575710716912,11121,10376
207,193,0.787875014652287,11171,10426
208,192,0.7904738865654833,11233,10483
209,192,0.7894939869047285,11287,10536
210,192,0.7881952088019979,11339,10585
211,192,0.7871538863817277,11391,10637
212,192,0.7858464924699934,11441,10687
213,192,0.7848559636627055,11495,10741
214,192,0.7834971665949926,11550,10791
215,192,0.7823235010498291,11592,10828
216,192,0.7811688659011408,11646,10882
217,192,0.7802304026757613,11691,10925
218,192,0.7789228843441437,11747,10977
219,192,0.777758972949453,11803,11026
220,192,0.7764840836353414,11855,11073
221,192,0.7749954147537169,11909,11127
222,192,0.7734205766288603,11979,11197
223,192,0.7719876160127402,12033,11247
224,192,0.7708336757491704,12086,11294
225,192,0.7697785103767184,12138,11343
226,192,0.7686230157164712,12188,11393
227,192,0.7674228629162133,12248,11449
228,191,0.7700854091141756,12302,11500
229,191,0.7688638951720074,12358,11556
230,191,0.7675383949221537,12416,11607
231,191,0.7663154690995985,12464,11655
232,191,0.7650763471402573,12523,11707
233,191,0.7637401226857263,12570,11754
234,191,0.7623064464803174,12629,11806
235,191,0.7610316585796211,12690,11866
236,191,0.7595777703364884,12740,11916
237,191,0.7585285151456765,12788,11964
238,191,0.7573699866087465,12842,12015
239,191,0.7562388700959862,12890,12062
240,191,0.755014851804632,12946,12117
241,191,0.7536653502568611,13001,12170
242,191,0.7526349841156367,13046,12209
243,191,0.7514106819707755,13113,12276
244,191,0.7502066250678892,13165,12320
245,191,0.7492674157410767,13212,12367
246,191,0.7481142766167372,13261,12416
247,191,0.746940484402151,13319,12474
248,191,0.7458548886279158,13375,12525
249,191,0.7448660952197004,13433,12583
250,191,0.7439654651380517,13485,12631
251,191,0.7428965070220444,13524,12662
252,191,0.7415918982666216,13586,12719
253,191,0.7401360225055345,13645,12777
254,191,0.7390835911399336,13690,12820
255,191,0.7380856833201899,13736,12858
256,191,0.7369396620127551,13793,12908
257,191,0.7358574262769259,13851,12966
258,191,0.7347276708142301,13903,13014
259,191,0.7333192981536059,13957,13066
260,191,0.7323081308262684,14010,13114
261,191,0.7313162480936312,14061,13165
262,190,0.7338772870014075,14112,13215
263,190,0.732769576419638,14171,13271
264,190,0.7315222666273926,14230,13330
265,190,0.7301956134482935,14284,13384
266,190,0.7292327603421259,14331,13431
267,190,0.727665626068213,14387,13483
268,190,0.7264863147807811,14436,13532
269,190,0.7253255674121976,14494,13585
270,190,0.7240989504508437,14550,13640
271,190,0.7228055731257438,14604,13688
272,190,0.7218185174281697,14649,13729
273,190,0.720609047440523,14704,13784
274,190,0.7193190599779467,14751,13830
275,190,0.7182627697819582,14805,13881
276,190,0.716822244131324,14863,13935
277,190,0.715632065685381,14917,13989
278,190,0.7147121826179713,14952,14023
279,190,0.713114823206612,15019,14077
280,190,0.7116485482192006,15076,14129
281,190,0.7104690988432196,15130,14183
282,189,0.7130628031210242,15171,14223
283,189,0.7117505106948199,15225,14274
284,189,0.7107498336880291,15269,14312
285,189,0.7095104217050274,15318,14360
286,189,0.7083401720625561,15368,14402
287,189,0.7071386528895856,15420,14450
288,189,0.7059193487491591,15474,14502
289,189,0.7047773283053832,15522,14545
290,189,0.703870450943895,15564,14586
291,189,0.7026766972164692,15629,14643
292,189,0.7015077785899285,15675,14686
293,189,0.7004699734124339,15721,14730
294,189,0.6993799125657011,15782,14784
295,189,0.698293405835958,15835,14827
296,189,0.6971341087976927,15887,14876
297,188,0.699396696717349,15945,14934
298,188,0.6981060382466716,16007,14996
299,188,0.6971924422403147,16047,15035
300,188,0.6959670690167669,16103,15091
301,188,0.6947201508683358,16155,15136
302,188,0.6934414864844397,16213,15182
303,188,0.6923702690341172,16258,15225
304,187,0.6945117626829955,16319,15277
305,187,0.6934179472066395,16365,15318
306,187,0.6922859234041541,16413,15361
307,187,0.6912120258563279,16457,15399
308,187,0.6902532207869002,16501,15443
309,187,0.6889593785052112,16551,15493
310,186,0.6911863789902056,16608,15541
