round,alive,avg_energy,generated_cum,delivered_cum
1,200,0.9998371864165417,6,5
2,200,0.9996876964147436,18,17
3,200,0.999448438623523,32,28
4,200,0.9993820947296446,37,32
5,200,0.9992065388054896,49,43
6,200,0.9990617739762748,58,52
7,200,0.9988878821898615,70,63
8,200,0.9986754696613626,84,77
9,200,0.9985244603822633,94,87
10,200,0.9983415592034219,107,99
11,200,0.9980458441031752,128,120
12,200,0.9978433430909829,142,134
13,200,0.9976268356166758,156,147
14,200,0.9974061153718772,171,161
15,200,0.9971076526969957,189,174
16,200,0.9968305762565316,208,190
17,200,0.9965351514421712,232,214
18,200,0.9962625457199854,252,234
19,200,0.995836062768411,282,262
20,200,0.9954210149313097,309,287
21,200,0.9952880392285799,319,297
22,200,0.9949928530432574,337,313
23,200,0.9947136647730394,356,330
24,200,0.9944310242148208,374,347
25,200,0.994252252957399,387,360
26,200,0.9940101840512798,405,378
27,200,0.9937783293752461,418,387
28,200,0.9935275736158394,435,404
29,200,0.9932108837856631,456,422
30,200,0.9928673034120274,479,444
31,200,0.9926510011289554,493,456
32,200,0.9922912224095374,513,476
33,200,0.9919979903638493,531,490
34,200,0.9917846939518167,547,505
35,200,0.9914106282878038,573,529
36,200,0.9911298724536866,589,542
37,200,0.9908370371613566,610,560
38,200,0.9905716141628494,630,580
39,200,0.9903794231299871,643,593
40,200,0.9900091461407736,664,611
41,200,0.9898657314339124,676,623
42,200,0.9896343668511699,692,638
43,200,0.9893263820143882,711,657
44,200,0.9889556380847654,733,674
45,200,0.9886328451188879,751,692
46,200,0.9882860000966336,773,714
47,200,0.987924699084347,796,737
48,200,0.9876050919731949,814,755
49,200,0.9873205845151044,832,773
50,200,0.9869432970908472,856,797
51,200,0.9865502972747384,877,817
52,200,0.9862883800491072,894,833
53,200,0.9859385610881796,914,853
54,200,0.9856124810355129,931,870
55,200,0.9853122843884072,950,884
56,200,0.9850932620435191,966,898
57,200,0.984833344586233,982,911
58,200,0.9844783650827135,1002,929
59,200,0.984032068383774,1027,947
60,200,0.9836862901910604,1049,969
61,200,0.9834101784780372,1065,985
62,200,0.983065348754219,1085,1005
63,200,0.9828420750956722,1103,1022
64,200,0.9825712634901914,1122,1041
65,200,0.9821804576731057,1144,1063
66,200,0.9819324532198701,1159,1078
67,200,0.9816577338263599,1175,1093
68,200,0.9813311702501376,1195,1113
69,200,0.981012508839204,1218,1132
70,200,0.9807499281539694,1237,1150
71,200,0.9804209412265625,1261,1174
72,200,0.9802058928686651,1278,1191
73,200,0.9799493809522837,1296,1209
74,200,0.9796704997868503,1314,1224
