round,EC,avg_RE,TH,PDR,CA,RL,EE,PLR,LB,FI,CE
50,2.0998146838601883,0.4790018531613981,21.76,0.9653948535936113,1.0,40.52681535219558,10.362819236980268,0.034605146406388676,0.9766126499102088,0.9994533308663789,0.47623250169946085
100,4.2484975285812965,0.45751502471418704,22.03,0.9645359019264448,1.0,39.71717808192516,5.185362555066966,0.03546409807355522,0.9561393832736109,0.9980799400228647,0.23537732887276286
150,6.5010258185022,0.434989741814978,22.18,0.9685589519650655,1.0,44.468699357591284,3.411769252919249,0.03144104803493453,0.9359761425788858,0.995917679335073,0.1538218779494702
200,8.84939830553192,0.4115060169446808,22.1,0.9642233856893543,1.0,41.61341688191682,2.497344930918624,0.035776614310645716,0.9201751977682263,0.9936683462404082,0.11300203307324089
250,11.309005771322838,0.3869099422867716,22.188,0.96452790818988,1.0,38.47547123912163,1.96197618505633,0.03547209181012001,0.8940725377166657,0.9889038781812362,0.0884251029861335
300,13.792168094913627,0.36207831905086374,22.253333333333334,0.9647398843930636,1.0,42.89568161665798,1.6134760815118019,0.035260115606936426,0.8657209866584151,0.9822885000357844,0.07250491678453273
350,16.012014505229146,0.33987985494770856,22.277142857142856,0.9649752475247525,1.0,42.0067285685287,1.391276709739906,0.0350247524752475,0.8424887442925798,0.9757908289135755,0.06245310355379853
400,18.635108969927547,0.3136489103007245,22.1875,0.9644642469028472,1.0,37.259935160632125,1.1906289378723318,0.035535753097152845,0.8047670307624936,0.9632835680230748,0.05366214931255581
450,21.583340414876183,0.28416659585123816,22.297777777777778,0.9653646334423706,1.0,43.28705304304148,1.0331013341386754,0.03463536655762944,0.7848556232959129,0.9557606103503457,0.04633203113039704
500,24.633026284678053,0.2536697371532195,22.352,0.9645292137740571,1.0,38.582718085218346,0.9073996731738613,0.03547078622594291,0.743165821639201,0.938118165482831,0.04059590520641827
550,28.012808331438087,0.21987191668561912,22.48181818181818,0.964659073178343,1.0,40.25657861224928,0.8025549568547681,0.035340926821657015,0.6808225582797482,0.9075445856983472,0.03569795602669813
600,31.506707442598252,0.18493292557401747,22.703333333333333,0.9646625593088308,1.0,45.966575261041335,0.7205873027099485,0.035337440691169175,0.7422513132499802,0.9377041978172143,0.03173927335383711
650,35.76165401543267,0.14238345984567333,22.864615384615384,0.9651276056886811,1.0,38.92953919945361,0.6393612380106449,0.034872394311318944,0.7074251528984138,0.9211495597721925,0.027962912441590583
