round,EC,avg_RE,TH,PDR,CA,RL,EE,PLR,LB,FI,CE
50,1.8982079196422603,0.4810179208035774,22.16,0.9551724137931035,1.0,38.89498111719076,11.674168973110339,0.04482758620689653,0.9790410323383002,0.9995609145552746,0.5268126792919828
100,4.147015932480755,0.4585298406751924,22.35,0.9498512537186571,1.0,40.35170056352922,5.389417442298123,0.050148746281342915,0.9615313145830652,0.9985223469320516,0.2411372457404082
150,6.222059890453238,0.43777940109546765,22.286666666666665,0.9510668563300142,1.0,41.70326134366249,3.581879162054035,0.0489331436699858,0.9435581477864557,0.9968244336653797,0.16071847870418943
200,8.444202842975365,0.4155579715702464,22.375,0.9553800170794193,1.0,37.495184341737136,2.6497468637449306,0.04461998292058067,0.9290230328024911,0.9949875216394166,0.11842444083776227
250,10.517949840439051,0.3948205015956095,22.356,0.9548949256791389,1.0,38.409181685803745,2.1255092807199385,0.04510507432086108,0.9180238640898399,0.9933247712581864,0.0950755627446743
300,13.05982899779633,0.3694017100220367,22.33,0.9545454545454546,1.0,41.93307886910795,1.709823306550789,0.045454545454545414,0.9029737263636978,0.9906737009157192,0.07657068099197444
350,15.128752913567453,0.34871247086432544,22.32,0.9572356328881264,1.0,39.627569187794236,1.4753364092544232,0.04276436711187359,0.8885985611432453,0.9877418465444137,0.06609930148989351
400,17.296628369910735,0.3270337163008927,22.275,0.9565217391304348,1.0,40.32861365641421,1.2878232406698205,0.04347826086956519,0.8650841781145512,0.982123120945091,0.05781473583253965
450,19.677960454596995,0.30322039545403007,22.3,0.958178172443426,1.0,39.770567716079626,1.133247525903553,0.04182182755657404,0.837010077297098,0.9741217590680827,0.0508182747041952
500,22.702507737914924,0.27297492262085077,22.4,0.9594791398954853,1.0,42.51567004248579,0.9866751399710035,0.04052086010451472,0.795436764372542,0.9598346467173144,0.04404799732013409
550,25.79543077571679,0.2420456922428321,22.45090909090909,0.9590679611650486,1.0,39.00105066478643,0.8703444143310778,0.040932038834951445,0.752232114594336,0.9421617056761988,0.038766555546006866
600,29.503394180088364,0.20496605819911637,22.686666666666667,0.960214446952596,1.0,38.43405798245312,0.7689510748555751,0.039785553047404054,0.6999622628025544,0.9174121342713832,0.03389440529777733
650,33.66595372427052,0.1633404627572948,22.852307692307694,0.9608020698576973,1.0,43.001442766409134,0.6787957911268964,0.03919793014230266,0.6764163397079496,0.9052179053094854,0.029703599315503072
700,38.15382455433284,0.11846175445667159,22.93285714285714,0.9609122470968514,1.0,35.4712405725086,0.6010631282900532,0.03908775290314859,0.8771424621824794,0.9851304657733266,0.026209692257088222
750,41.236892954721114,0.08763107045278887,22.686666666666667,0.9608651456968602,1.0,34.65972329239326,0.5501546077095831,0.03913485430313979,0.8483396820768476,0.9775162923991186,0.024250129637507337
800,44.09639422377617,0.059036057762238234,22.465,0.9610695187165775,1.0,42.86842626674914,0.50945208549245,0.03893048128342247,0.8310818440125722,0.972258222249504,0.022677591163696866
850,44.88290831076353,0.05117091689236468,21.61764705882353,0.9610355648535565,0.895,39.89253602402633,0.481645416316289,0.03896443514644354,0.8417862702535901,0.9755796946512181,0.019940775535380508
900,44.97686191125062,0.0502313808874938,20.494444444444444,0.9610274579273693,0.875,32.96695118039003,0.4556663931975635,0.03897254207263068,0.8378950764366293,0.9743948461492686,0.019454447527410205
950,44.98528237775545,0.05014717622244544,19.423157894736843,0.960991615020051,0.8575,34.19340738670982,0.431766943944789,0.03900838497994896,0.8530183120075508,0.9788532301041566,0.01906178987161412
1000,44.987771177755455,0.05012228822244543,18.452,0.9609415685866055,0.83,36.99011738422395,0.41015590497009846,0.03905843141339449,0.8519795625443077,0.9785597079639051,0.0184494581143064
1050,44.990021977755454,0.050099780222445434,17.573333333333334,0.9608915273655158,0.815,35.19099247672391,0.39060512888884935,0.03910847263448425,0.8523906690780201,0.9786761014980754,0.01811512784774728
1100,44.991844377755456,0.05008155622244542,16.774545454545454,0.9608414913559675,0.7775,37.23489237396318,0.37283524795527173,0.039158508644032475,0.8569818950154384,0.9799558091021978,0.017280909701590404
1150,44.993544377755455,0.05006455622244542,16.045217391304348,0.9608414913559675,0.7775,40.21118534953337,0.35661154534953704,0.039158508644032475,0.8561619770308546,0.9797299968816279,0.017280256773555974
1200,44.99523757775546,0.05004762422244542,15.376666666666667,0.9607914605571466,0.68,43.862801292119784,0.3417398705828484,0.03920853944285341,0.8675108898820603,0.9827494410458545,0.01511271051352722
1250,44.99652277775546,0.05003477222244542,14.7616,0.960741434968239,0.64,31.57889686591531,0.32806090534839205,0.03925856503176095,0.9091257120743621,0.9918095020417425,0.01422332128109222
1300,44.997542777755456,0.05002457222244541,14.193846153846154,0.960741434968239,0.64,39.63552096360264,0.31543602778378566,0.03925856503176095,0.9086443081176726,0.9917232144741395,0.014222998868204512
1350,44.99856277775546,0.05001437222244541,13.668148148148148,0.960741434968239,0.64,32.74287957751851,0.3037463266472334,0.03925856503176095,0.9081577765500619,0.9916355599931117,0.014222676469933321
1400,44.99958277775546,0.050004172222445416,13.18,0.960741434968239,0.64,33.039287962950816,0.2928916044642805,0.03925856503176095,0.9076660350087823,0.9915465096573488,0.014222354086277658
1450,45.00060277775546,0.049993972222445414,12.725517241379311,0.960741434968239,0.64,31.271136500937633,0.2827854841017762,0.03925856503176095,0.9071689993576442,0.991456033757776,0.01422203171723652
1500,45.00162277775546,0.049983772222445405,12.301333333333334,0.960741434968239,0.64,32.214640630133125,0.2733531053776565,0.03925856503176095,0.9066665836390262,0.9913641017930573,0.01422170936280892
1550,45.00264277775546,0.0499735722224454,11.904516129032258,0.960741434968239,0.64,31.594751527236784,0.2645292674881883,0.03925856503176095,0.9061587000243168,0.991270682444184,0.014221387022993862
1600,45.00366277775546,0.04996337222244541,11.5325,0.960741434968239,0.64,33.99507732224223,0.2562569197301051,0.03925856503176095,0.9056452587627302,0.9911757435481113,0.014221064697790355
1650,45.00468277775546,0.0499531722224454,11.183030303030304,0.960741434968239,0.64,35.688987731140784,0.24848592663690006,0.03925856503176095,0.9051261681284326,0.9910792520704008,0.014220742387197402
1700,45.00570277775546,0.049942972222445405,10.854117647058823,0.960741434968239,0.64,35.911199001690015,0.2411720510322435,0.03925856503176095,0.9046013343659128,0.9909811740768245,0.014220420091214013
1750,45.006722777755456,0.04993277222244541,10.544,0.960741434968239,0.64,36.96665265520945,0.2342761114171007,0.03925856503176095,0.90407066163353,0.9908814747038901,0.014220097809839191
1800,45.00774277775546,0.04992257222244541,10.251111111111111,0.960741434968239,0.64,33.8368907941483,0.22776327979232944,0.03925856503176095,0.903534051945167,0.9907801181282352,0.014219775543071944
1850,45.00876277775546,0.0499123722224454,9.974054054054054,0.960741434968239,0.64,34.98529928883335,0.22160249334788426,0.03925856503176095,0.9029914051099138,0.9906770675348425,0.014219453290911281
1900,45.00978277775546,0.049902172222445404,9.711578947368421,0.960741434968239,0.64,34.250354497478206,0.21576595904319795,0.03925856503176095,0.9024426186697039,0.9905722850840276,0.014219131053356206
1950,45.01080277775546,0.04989197222244539,9.462564102564103,0.960741434968239,0.64,39.2224531910287,0.21022873440596676,0.03925856503176095,0.9018875878348224,0.9904657318771355,0.014218808830405728
2000,45.01182277775546,0.04988177222244539,9.226,0.960741434968239,0.64,34.15854831597057,0.20496837121111716,0.03925856503176095,0.9013262054171989,0.9903573679209042,0.014218486622058853
2050,45.01284277775546,0.04987157222244539,9.000975609756097,0.960741434968239,0.64,38.45013193665971,0.19996461130431464,0.03925856503176095,0.9007583617613981,0.9902471520904156,0.01421816442831459
2100,45.01386277775546,0.049861372222445396,8.786666666666667,0.960741434968239,0.64,40.12207146395562,0.1951991258792565,0.03925856503176095,0.9001839446732136,0.9901350420905892,0.014217842249171945
2150,45.01488277775546,0.04985117222244539,8.582325581395349,0.960741434968239,0.64,34.60963638055841,0.19065529113487747,0.03925856503176095,0.8996028393457668,0.990020994416138,0.014217520084629925
2200,45.015902777755464,0.049840972222445386,8.387272727272727,0.960741434968239,0.64,35.35092794755072,0.18631799452475456,0.03925856503176095,0.8990149282830102,0.9899049643099255,0.014217197934687538
2250,45.01692277775546,0.04983077222244539,8.200888888888889,0.960741434968239,0.64,37.404805770503124,0.18217346683992477,0.03925856503176095,0.8984200912205267,0.9897869057196457,0.014216875799343795
2300,45.017942777755465,0.04982057222244538,8.022608695652174,0.960741434968239,0.64,38.82538690859308,0.1782091361939434,0.03925856503176095,0.8978182050435127,0.9896667712527532,0.014216553678597695
2350,45.01896277775546,0.04981037222244538,7.851914893617021,0.960741434968239,0.64,36.42792123652141,0.1744135006481484,0.03925856503176095,0.8972091437018294,0.9895445121295565,0.014216231572448255
2400,45.01983997775546,0.04980160022244538,7.6883333333333335,0.9606914145884313,0.6225,46.39214247684655,0.17077655844916773,0.039308585411568675,0.9326936517606941,0.9954902851466886,0.013827237064982473
2450,45.02051997775546,0.04979480022244538,7.531428571428571,0.9606914145884313,0.6225,46.68406102203389,0.16728879575690891,0.039308585411568675,0.932310887227648,0.9954390813023004,0.013827028215302175
2500,45.02119997775546,0.04978800022244538,7.3808,0.9606914145884313,0.6225,46.38679946125271,0.1639405436471436,0.039308585411568675,0.9319237443072041,0.9953870017817973,0.013826819371930808
2550,45.02187997775546,0.049781200222445386,7.236078431372549,0.9606914145884313,0.6225,46.4234059935485,0.1607235956150159,0.039308585411568675,0.9315321474416177,0.9953340265349789,0.013826610534868083
2600,45.02255997775546,0.04977440022244537,7.096923076923077,0.9606914145884313,0.6225,46.39696050454918,0.15763037642527417,0.039308585411568675,0.9311360193245545,0.9952801349354133,0.013826401704113714
2650,45.023239977755466,0.04976760022244538,6.963018867924529,0.9606914145884313,0.6225,46.448286918742795,0.15465388255853493,0.039308585411568675,0.9307352808502125,0.995225305760482,0.013826192879667418
2700,45.02391997775546,0.049760800222445375,6.834074074074074,0.9606914145884313,0.6225,46.48504801577154,0.15178762927462824,0.039308585411568675,0.9303298510606579,0.9951695171706149,0.01382598406152891
2750,45.024599977755464,0.049754000222445374,6.709818181818182,0.9606914145884313,0.6225,46.394031958427284,0.14902560345085103,0.039308585411568675,0.9299196470913004,0.9951127466876801,0.013825775249697898
2800,45.02527997775546,0.04974720022244537,6.59,0.9606914145884313,0.6225,46.4332650970949,0.1463622214732648,0.039308585411568675,0.9295045841144298,0.995054971172485,0.013825566444174105
2850,45.02595997775546,0.04974040022244537,6.474385964912281,0.9606914145884313,0.6225,46.40334768145283,0.14379229156048806,0.039308585411568675,0.9290845752807363,0.9949961668013483,0.013825357644957237
2900,45.026639977755465,0.04973360022244537,6.362758620689656,0.9606914145884313,0.6225,46.393336564142885,0.1413109799850278,0.039308585411568675,0.9286595316587254,0.9949363090417023,0.013825148852047012
2950,45.02731997775546,0.049726800222445376,6.254915254237289,0.9606914145884313,0.6225,46.393175179531056,0.13891378072972946,0.039308585411568675,0.9282293621719426,0.9948753726266728,0.013824940065443147
3000,45.027999977755464,0.04972000022244536,6.150666666666667,0.9606914145884313,0.6225,46.43354843040361,0.13659648817858205,0.039308585411568675,0.9277939735339124,0.994813331528593,0.01382473128514535
3050,45.028679977755466,0.04971320022244537,6.04983606557377,0.9606914145884313,0.6225,46.40574409381718,0.1343551724936738,0.039308585411568675,0.927353270180695,0.9947501589313984,0.013824522511153339
3100,45.02935997775546,0.049706400222445365,5.952258064516129,0.9606914145884313,0.6225,47.99620091308908,0.13218615737502262,0.039308585411568675,0.9269071542009579,0.9946858272018473,0.01382431374346683
3150,45.030039977755465,0.049699600222445364,5.857777777777778,0.9606914145884313,0.6225,46.51170806396463,0.13008599993851838,0.039308585411568675,0.9264555252634552,0.9946203078595103,0.013824104982085533
3200,45.03071997775547,0.04969280022244536,5.76625,0.9606914145884313,0.6225,46.38708917837046,0.1280514724803078,0.039308585411568675,0.9259982805418012,0.9945535715454692,0.013823896227009165
3250,45.03139997775546,0.04968600022244536,5.677538461538462,0.9606914145884313,0.6225,46.4420952479158,0.126079545924467,0.039308585411568675,0.9255353146364209,0.9944855879896618,0.013823687478237442
3300,45.032045977755466,0.049679540222445355,5.591515151515152,0.9606413994169096,0.375,18.437747880182567,0.12416746852401953,0.039358600583090375,1.0,1.0,0.008327403116110674
3350,45.03238597775547,0.04967614022244536,5.508059701492537,0.9606413994169096,0.375,4.510928997151083,0.1223132992378716,0.039358600583090375,1.0,1.0,0.008327340243202698
3400,45.03272597775546,0.04967274022244536,5.4270588235294115,0.9606413994169096,0.375,25.83946246356121,0.12051366435623245,0.039358600583090375,1.0,1.0,0.008327277371244113
3450,45.03306597775546,0.04966934022244535,5.348405797101449,0.9606413994169096,0.375,14.549303852653352,0.11876619281803616,0.039358600583090375,1.0,1.0,0.008327214500234895
3500,45.033405977755464,0.04966594022244536,5.272,0.9606413994169096,0.375,11.661752237295113,0.11706864905142059,0.039358600583090375,1.0,1.0,0.008327151630175023
3550,45.033745977755466,0.04966254022244535,5.197746478873239,0.9606413994169096,0.375,25.993854498124612,0.11541892343223412,0.039358600583090375,1.0,1.0,0.008327088761064473
3600,45.03408597775547,0.04965914022244536,5.125555555555556,0.9606413994169096,0.375,0.763702283749011,0.11381502353766695,0.039358600583090375,1.0,1.0,0.008327025892903229
3650,45.03442597775546,0.04965574022244535,5.055342465753425,0.9606413994169096,0.375,14.929729169371676,0.11225506611876183,0.039358600583090375,1.0,1.0,0.008326963025691267
3700,45.03476597775546,0.04965234022244536,4.987027027027027,0.9606413994169096,0.375,11.0721522674546,0.11073726972380242,0.039358600583090375,1.0,1.0,0.008326900159428564
3750,45.035105977755464,0.04964894022244535,4.920533333333333,0.9606413994169096,0.375,2.0531911834934653,0.10925994791183061,0.039358600583090375,1.0,1.0,0.008326837294115099
