round,alive,avg_energy,generated_cum,delivered_cum
1,100,0.49985542333618865,9,9
2,100,0.4996959761451806,20,20
3,100,0.49943175475160956,38,36
4,100,0.499107399093823,61,58
5,100,0.49877890766366995,85,81
6,100,0.4982260655945132,119,112
7,100,0.49792435187265704,141,130
8,100,0.4975535846362115,162,150
9,100,0.4972951183538435,180,166
10,100,0.4970050687150645,201,186
11,100,0.4965248490869766,231,216
12,100,0.4961317677922236,260,244
13,100,0.4958437890623012,277,261
14,100,0.49544153716719114,302,286
15,100,0.4950954945349202,326,307
16,100,0.49465787012274975,351,330
17,100,0.4942445457052272,375,353
18,100,0.4938989076356098,398,374
19,100,0.4935324804788722,420,395
20,100,0.49309945116182324,445,420
21,100,0.49271436500845006,469,437
22,100,0.4923981137859865,486,454
23,100,0.49199626338172997,514,482
24,100,0.49159418736074767,541,509
25,100,0.49111690302728334,568,535
26,100,0.49081230409636345,586,552
27,100,0.4904177424693589,608,574
28,100,0.4900171549516146,633,596
29,100,0.4897851666807192,648,611
30,100,0.48942188247597407,672,634
31,100,0.4889060563749662,698,660
32,100,0.4885521529493289,721,683
33,100,0.4881547154479873,745,707
34,100,0.48767071258002176,776,735
35,100,0.4874183383945824,793,752
36,100,0.48709329627791736,814,773
37,100,0.48662418331085705,842,799
38,100,0.4862153136743217,865,822
39,100,0.4858358226572223,884,841
40,100,0.4853981235443285,908,864
41,100,0.4850647769037974,927,883
42,100,0.4846572859974872,952,907
43,100,0.48417718887356437,980,932
44,100,0.483750020210971,1004,954
45,100,0.48321409323613485,1035,985
46,100,0.4828879386518772,1055,1005
47,100,0.48252652360303466,1071,1020
48,100,0.48209827001721983,1096,1044
49,100,0.48162979423736,1121,1069
50,100,0.4810179208035775,1160,1108
51,100,0.48062882773549276,1180,1128
52,100,0.48030696731167377,1199,1147
53,100,0.48003215720801,1215,1162
54,100,0.4797052738019403,1232,1177
55,100,0.4793540961827151,1253,1198
56,100,0.4789002674154434,1283,1228
57,100,0.4784586187775566,1306,1251
58,100,0.47814532045834485,1324,1269
59,100,0.4776696751473867,1352,1295
60,100,0.4773062034828028,1374,1316
61,100,0.4768593890309969,1399,1338
62,100,0.47655415232770826,1419,1358
63,100,0.4761148391799593,1444,1383
64,100,0.4755499743707732,1473,1412
65,100,0.47508104227206693,1500,1439
66,100,0.47461613659619517,1527,1465
67,100,0.4741288910377992,1552,1489
68,100,0.4736889971368474,1578,1515
69,100,0.47333738010763227,1596,1533
70,100,0.4727640160619805,1625,1556
