round,alive,avg_energy,generated_cum,delivered_cum
1,500,0.49960509175553003,23,22
2,500,0.49937250554215584,45,38
3,500,0.4989614169125722,71,62
4,500,0.4986245845568926,99,90
5,500,0.4981386135494256,133,122
6,500,0.4976902205170166,166,155
7,500,0.4972863074128384,193,176
8,500,0.49671314305737846,227,210
9,500,0.49620849804832484,260,241
10,500,0.4956201175484392,298,276
11,500,0.49517901043116447,331,305
12,500,0.49437024494845333,379,343
13,500,0.49393603816122955,413,375
14,500,0.4930340658648778,470,424
15,500,0.4922228665263753,526,479
16,500,0.49132273305237273,581,527
17,500,0.49040091121246704,633,575
18,500,0.4893854562530782,702,638
19,500,0.4883977134512418,763,694
20,500,0.4873443053697467,821,752
21,500,0.48688103189567655,856,782
22,500,0.48634782692831,894,819
23,500,0.4856575776874469,940,861
24,500,0.484941833302872,986,906
25,500,0.48388354307372283,1040,955
26,500,0.4832403487315447,1089,998
27,500,0.48274039130075597,1130,1035
28,500,0.4820641783665842,1176,1077
29,500,0.48126577341283683,1222,1113
30,500,0.4802669503562929,1285,1176
31,500,0.47955501037989073,1336,1227
32,500,0.47849314233782425,1391,1282
33,500,0.47773106730596443,1445,1334
34,500,0.4767929471032797,1489,1376
35,500,0.47624559000132627,1527,1409
36,500,0.4753944620351129,1580,1462
37,500,0.4747035976228472,1627,1509
38,500,0.4738717081168851,1679,1561
39,500,0.4730876917288956,1729,1607
40,500,0.47243824295185605,1775,1653
41,500,0.4717676595830836,1827,1689
42,500,0.47101213655231583,1874,1736
43,500,0.47012256102419137,1928,1785
44,500,0.46924074999851795,1981,1838
45,500,0.46849246858849314,2022,1875
46,500,0.4675240479921408,2079,1932
47,500,0.4667640691429067,2131,1978
48,500,0.46609759319718513,2174,2021
49,500,0.46560533861090087,2204,2050
50,500,0.4647630331884338,2251,2097
51,500,0.46386947943262535,2307,2153
52,500,0.46280374653484635,2360,2203
53,500,0.4620143115359598,2408,2251
54,500,0.46070245559234546,2472,2312
55,500,0.46028725142343535,2506,2345
56,500,0.4596257577875643,2542,2378
57,500,0.45900665996632417,2583,2416
58,500,0.4579337596045226,2633,2465
59,500,0.457169213171236,2677,2497
60,500,0.45650911361735075,2729,2549
61,500,0.4557531998591504,2780,2600
62,500,0.4551293698454447,2818,2633
63,500,0.4542876574351517,2868,2683
64,500,0.4536219141580261,2913,2727
65,500,0.45268106092810373,2960,2767
66,500,0.45189483532728936,3009,2816
67,500,0.4512025614025943,3058,2862
68,500,0.4503555467640579,3116,2918
69,500,0.4497045508215173,3153,2955
70,500,0.4490447905653698,3200,3001
71,500,0.4484160620578934,3247,3042
72,500,0.447275998670027,3310,3101
73,500,0.4465221562866148,3357,3147
74,500,0.44569567152381623,3413,3201
75,500,0.4451828262102832,3455,3243
76,500,0.44445226555512496,3503,3291
77,500,0.44357396531802074,3557,3341
78,500,0.4427202077817512,3611,3392
79,500,0.44215291276366103,3647,3428
80,500,0.44157226864480037,3690,3464
81,500,0.4410010401663907,3730,3502
82,500,0.4400795661543219,3779,3548
83,500,0.43905686882559997,3836,3591
84,500,0.43836754228288044,3880,3635
85,500,0.43753399142556054,3925,3674
86,500,0.4366989810583063,3977,3726
87,500,0.4356400608606218,4037,3779
88,500,0.43491746362029915,4079,3816
89,500,0.43416824168769586,4123,3857
90,500,0.4333371567162927,4174,3908
91,500,0.432321909833883,4235,3954
92,500,0.4316712486366734,4279,3996
93,500,0.4309592054047887,4320,4037
94,500,0.4300297720694484,4367,4084
95,500,0.429209916845903,4416,4133
96,500,0.4285942686441804,4454,4169
97,500,0.42801393400496907,4488,4202
98,500,0.42716876601992715,4547,4261
99,500,0.4263585631073034,4601,4315
100,500,0.42569928559526427,4641,4351
101,500,0.4250103571840313,4688,4393
102,500,0.42416468374807287,4747,4441
103,500,0.42341901129671206,4794,4484
104,500,0.42251185342216124,4846,4536
105,500,0.4217424772265441,4893,4582
106,500,0.42112246680067006,4930,4617
107,500,0.41987057253823995,4991,4678
108,500,0.4189319111531573,5048,4726
109,500,0.4181939849935826,5096,4774
110,500,0.4176609483373263,5138,4814
111,500,0.4169307818979663,5185,4852
112,500,0.41636834240838033,5225,4890
113,500,0.4154726653802363,5278,4943
114,500,0.4147063230656439,5328,4993
